SkillBullet表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,Type,ElementType,FlyEffect,HitEffect,HitSound0,HitSound1,HitEffectPosition,MuzzleEffect,ExplosionEffect,WillHitBuffToTarget,HitBuffToTarget,HitBuffToSelf,Attack,AttackPercent,Speed,StartPosition,StartPointName,HitPoint,DamageModifier,EffectiveTarget,SingleTarget,IsDamage,Param0,ParamDesc0,Param1,ParamDesc1,Param2,ParamDesc2,Param3,ParamDesc3
42041,,,三星镶嵌塔绿宝石,1,5,104021,104022,3042,3043,1,35,0,,,,66,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
42051,,,三星镶嵌塔蓝宝石,1,3,104031,104032,3039,3040,1,34,0,,,,45,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
42121,,,三星镶嵌塔二星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,65,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,,0.25,,,,,
42221,,,三星镶嵌塔三星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,81,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.25,攻击力递减百分比,,,,
42321,,,三星镶嵌塔四星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,98,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.25,攻击力递减百分比,,,,
42421,,,三星镶嵌塔五星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,140,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.25,攻击力递减百分比,,,,
80011,,,一星火炮塔,5,2,108001,108002,3015,3016,1,6,0,,,,0,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
80012,,,一星火炮塔,5,2,108001,108002,3015,3016,1,6,42,,,,0,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
80021,,,一星火炮塔紫宝石,5,4,108041,108042,3015,3016,1,20,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
80022,,,一星火炮塔紫宝石,5,4,108041,108042,3015,3016,1,20,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
80031,,,一星火炮塔红宝石,5,2,108011,108012,3015,3016,1,21,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
80032,,,一星火炮塔红宝石,5,2,108011,108012,3015,3016,1,21,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
80041,,,一星火炮塔绿宝石,5,5,108021,108022,3015,3016,1,19,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
80042,,,一星火炮塔绿宝石,5,5,108021,108022,3015,3016,1,19,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
80051,,,一星火炮塔蓝宝石,5,3,108031,108032,3015,3016,1,18,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
80052,,,一星火炮塔蓝宝石,5,3,108031,108032,3015,3016,1,18,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
81011,,,二星火炮塔,5,2,108101,108002,3015,3016,1,6,0,,,,0,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
81012,,,二星火炮塔,5,2,108101,108002,3015,3016,1,6,42,,,,0,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
81021,,,二星火炮塔紫宝石,5,4,108041,108042,3015,3016,1,20,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
81022,,,二星火炮塔紫宝石,5,4,108041,108042,3015,3016,1,20,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
81031,,,二星火炮塔红宝石,5,2,108011,108012,3015,3016,1,21,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
81032,,,二星火炮塔红宝石,5,2,108011,108012,3015,3016,1,21,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
81041,,,二星火炮塔绿宝石,5,5,108021,108022,3015,3016,1,19,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
81042,,,二星火炮塔绿宝石,5,5,108021,108022,3015,3016,1,19,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
81051,,,二星火炮塔蓝宝石,5,3,108031,108032,3015,3016,1,18,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
81052,,,二星火炮塔蓝宝石,5,3,108031,108032,3015,3016,1,18,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
82011,,,三星火炮塔,5,2,108201,108002,3015,3016,1,6,0,,,,0,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
82012,,,三星火炮塔,5,2,108201,108002,3015,3016,1,6,42,,,,0,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
82021,,,三星火炮塔紫宝石,5,4,108041,108042,3015,3016,1,20,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
82022,,,三星火炮塔紫宝石,5,4,108041,108042,3015,3016,1,20,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
82031,,,三星火炮塔红宝石,5,2,108011,108012,3015,3016,1,21,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
82032,,,三星火炮塔红宝石,5,2,108011,108012,3015,3016,1,21,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
82041,,,三星火炮塔绿宝石,5,5,108021,108022,3015,3016,1,19,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
82042,,,三星火炮塔绿宝石,5,5,108021,108022,3015,3016,1,19,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
82051,,,三星火炮塔蓝宝石,5,3,108031,108032,3015,3016,1,18,0,,,,30,1,50,4,Fire_point,BodyPoint,0,1,0,0,0,伤害范围,,,,,,
82052,,,三星火炮塔蓝宝石,5,3,108031,108032,3015,3016,1,18,42,,,,30,1,35,0,,BodyPoint,0,1,0,1,3,伤害范围,,,,,,
90011,,,一星回旋飞镖塔,16,3,109001,112002,3048,3049,1,5,0,,,,0,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
90021,,,一星回旋飞镖塔紫宝石,16,4,112041,112042,3048,3049,1,20,0,,,,10,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
90031,,,一星回旋飞镖塔红宝石,16,2,112011,112012,3048,3049,1,21,0,,,,10,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
90041,,,一星回旋飞镖塔绿宝石,16,5,112021,112022,3048,3049,1,19,0,,,,10,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
90051,,,一星回旋飞镖塔蓝宝石,16,3,112031,112032,3048,3049,1,18,0,,,,10,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91011,,,二星回旋飞镖塔,16,3,109101,112002,3048,3049,1,5,0,,,,0,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91012,,,二星回旋飞镖塔,16,3,109101,112002,3048,3049,1,5,0,,,,0,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91021,,,二星回旋飞镖塔紫宝石,16,4,112041,112042,3048,3049,1,20,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91022,,,二星回旋飞镖塔紫宝石,16,4,112041,112042,3048,3049,1,20,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91031,,,二星回旋飞镖塔红宝石,16,2,112011,112012,3048,3049,1,21,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91032,,,二星回旋飞镖塔红宝石,16,2,112011,112012,3048,3049,1,21,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91041,,,二星回旋飞镖塔绿宝石,16,5,112021,112022,3048,3049,1,19,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91042,,,二星回旋飞镖塔绿宝石,16,5,112021,112022,3048,3049,1,19,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91051,,,二星回旋飞镖塔蓝宝石,16,3,112031,112032,3048,3049,1,18,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
91052,,,二星回旋飞镖塔蓝宝石,16,3,112031,112032,3048,3049,1,18,0,,,,20,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92011,,,三星回旋飞镖塔,16,3,109201,112002,3048,3049,1,5,0,,,,0,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92012,,,三星回旋飞镖塔,16,3,109201,112002,3048,3049,1,5,0,,,,0,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92013,,,三星回旋飞镖塔,16,3,109201,112002,3048,3049,1,5,0,,,,0,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92021,,,三星回旋飞镖塔紫宝石,16,4,112041,112042,3048,3049,1,20,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92022,,,三星回旋飞镖塔紫宝石,16,4,112041,112042,3048,3049,1,20,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92023,,,三星回旋飞镖塔紫宝石,16,4,112041,112042,3048,3049,1,20,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92031,,,三星回旋飞镖塔红宝石,16,2,112011,112012,3048,3049,1,21,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92032,,,三星回旋飞镖塔红宝石,16,2,112011,112012,3048,3049,1,21,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92033,,,三星回旋飞镖塔红宝石,16,2,112011,112012,3048,3049,1,21,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92041,,,三星回旋飞镖塔绿宝石,16,5,112021,112022,3048,3049,1,19,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92042,,,三星回旋飞镖塔绿宝石,16,5,112021,112022,3048,3049,1,19,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92043,,,三星回旋飞镖塔绿宝石,16,5,112021,112022,3048,3049,1,19,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92051,,,三星回旋飞镖塔蓝宝石,16,3,112031,112032,3048,3049,1,18,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92052,,,三星回旋飞镖塔蓝宝石,16,3,112031,112032,3048,3049,1,18,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
92053,,,三星回旋飞镖塔蓝宝石,16,3,112031,112032,3048,3049,1,18,0,,,,30,1,18,4,Fire_point_1,BodyPoint,3,2,1,1,80,"弧线对应的角度,角度制","2,5,2",子弹大小,,,,
1100011,,,一星霰弹塔,8,0,0,110002,3021,3022,1,110001,0,,,,0,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100012,,,一星霰弹塔,8,0,0,110002,3021,3022,1,110001,0,,,,0,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100021,,,一星霰弹塔紫宝石,8,4,0,110042,3021,3022,1,110041,0,,,,24,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100022,,,一星霰弹塔紫宝石,8,4,0,110042,3021,3022,1,110041,0,,,,24,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100031,,,一星霰弹塔红宝石,8,2,0,110012,3021,3022,1,110011,0,,,,24,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100032,,,一星霰弹塔红宝石,8,2,0,110012,3021,3022,1,110011,0,,,,24,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100041,,,一星霰弹塔绿宝石,8,5,0,110022,3021,3022,1,110021,0,,,,24,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100042,,,一星霰弹塔绿宝石,8,5,0,110022,3021,3022,1,110021,0,,,,24,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100051,,,一星霰弹塔蓝宝石,8,3,0,110032,3021,3022,1,110031,0,,,,24,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1100052,,,一星霰弹塔蓝宝石,8,3,0,110032,3021,3022,1,110031,0,,,,24,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101011,,,二星霰弹塔,8,0,0,110002,3021,3022,1,110101,0,,,,0,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101012,,,二星霰弹塔,8,0,0,110002,3021,3022,1,110101,0,,,,0,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101021,,,二星霰弹塔紫宝石,8,4,0,110042,3021,3022,1,110041,0,,,,60,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101022,,,二星霰弹塔紫宝石,8,4,0,110042,3021,3022,1,110041,0,,,,60,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101031,,,二星霰弹塔红宝石,8,2,0,110012,3021,3022,1,110011,0,,,,60,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101032,,,二星霰弹塔红宝石,8,2,0,110012,3021,3022,1,110011,0,,,,60,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101041,,,二星霰弹塔绿宝石,8,5,0,110022,3021,3022,1,110021,0,,,,60,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101042,,,二星霰弹塔绿宝石,8,5,0,110022,3021,3022,1,110021,0,,,,60,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101051,,,二星霰弹塔蓝宝石,8,3,0,110032,3021,3022,1,110031,0,,,,60,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1101052,,,二星霰弹塔蓝宝石,8,3,0,110032,3021,3022,1,110031,0,,,,60,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102011,,,三星霰弹塔,8,0,0,110002,3021,3022,1,110201,0,,,,0,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102012,,,三星霰弹塔,8,0,0,110002,3021,3022,1,110201,0,,,,0,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102021,,,三星霰弹塔紫宝石,8,4,0,110042,3021,3022,1,110041,0,,,,90,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102022,,,三星霰弹塔紫宝石,8,4,0,110042,3021,3022,1,110041,0,,,,90,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102031,,,三星霰弹塔红宝石,8,2,0,110012,3021,3022,1,110011,0,,,,90,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102032,,,三星霰弹塔红宝石,8,2,0,110012,3021,3022,1,110011,0,,,,90,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102041,,,三星霰弹塔绿宝石,8,5,0,110022,3021,3022,1,110021,0,,,,90,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102042,,,三星霰弹塔绿宝石,8,5,0,110022,3021,3022,1,110021,0,,,,90,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102051,,,三星霰弹塔蓝宝石,8,3,0,110032,3021,3022,1,110031,0,,,,90,1,20,4,Fire_Point_1,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
1102052,,,三星霰弹塔蓝宝石,8,3,0,110032,3021,3022,1,110031,0,,,,90,1,20,4,Fire_Point_2,BodyPoint,0,1,0,1,60,"扇形角度,角度制",-1,"扇形半径,小于0表示取角色攻击范围为半径",1,持续时间,,
110011,,,一星天空之矛,2,0,111001,111002,3006,3007,1,4,0,,,,0,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
110021,,,一星天空之矛紫宝石,2,4,111041,111042,3006,3007,1,20,0,,,,30,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
110031,,,一星天空之矛红宝石,2,2,111011,111012,3006,3007,1,21,0,,,,30,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
110041,,,一星天空之矛绿宝石,2,5,111021,111022,3006,3007,1,19,0,,,,30,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
110051,,,一星天空之矛蓝宝石,2,3,111031,111032,3006,3007,1,18,0,,,,30,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
111011,,,二星天空之矛,2,0,111101,111002,3006,3007,1,4,0,,,,0,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
111021,,,二星天空之矛紫宝石,2,4,111041,111042,3006,3007,1,20,0,,,,50,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
111031,,,二星天空之矛红宝石,2,2,111011,111012,3006,3007,1,21,0,,,,50,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
111041,,,二星天空之矛绿宝石,2,5,111021,111022,3006,3007,1,19,0,,,,50,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
111051,,,二星天空之矛蓝宝石,2,3,111031,111032,3006,3007,1,18,0,,,,50,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
112011,,,三星天空之矛,2,0,111201,111002,3006,3007,1,4,0,,,,0,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
112021,,,三星天空之矛紫宝石,2,4,111041,111042,3006,3007,1,20,0,,,,80,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
112031,,,三星天空之矛红宝石,2,2,111011,111012,3006,3007,1,21,0,,,,80,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
112041,,,三星天空之矛绿宝石,2,5,111021,111022,3006,3007,1,19,0,,,,80,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
112051,,,三星天空之矛蓝宝石,2,3,111031,111032,3006,3007,1,18,0,,,,80,1,24,4,Fire_point,BodyPoint,0,2,1,1,2.5,抛物线最高高度,0,爆炸范围,,,,
120011,,,一星飞镖发射器,15,0,112001,112002,3009,3010,1,4,0,,,,0,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120012,,,一星飞镖发射器,15,0,112001,112002,3009,3010,1,4,0,,,,0,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120021,,,一星飞镖发射器紫宝石,15,4,112041,112042,3009,3010,1,20,0,,,,10,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120022,,,一星飞镖发射器紫宝石,15,4,112041,112042,3009,3010,1,20,0,,,,10,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120031,,,一星飞镖发射器红宝石,15,2,112011,112012,3009,3010,1,21,0,,,,10,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120032,,,一星飞镖发射器红宝石,15,2,112011,112012,3009,3010,1,21,0,,,,10,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120041,,,一星飞镖发射器绿宝石,15,5,112021,112022,3009,3010,1,19,0,,,,10,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120042,,,一星飞镖发射器绿宝石,15,5,112021,112022,3009,3010,1,19,0,,,,10,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120051,,,一星飞镖发射器蓝宝石,15,3,112031,112032,3009,3010,1,18,0,,,,10,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
120052,,,一星飞镖发射器蓝宝石,15,3,112031,112032,3009,3010,1,18,0,,,,10,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121011,,,二星飞镖发射器,15,0,112101,112002,3009,3010,1,4,0,,,,0,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121012,,,二星飞镖发射器,15,0,112101,112002,3009,3010,1,4,0,,,,0,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121021,,,二星飞镖发射器紫宝石,15,4,112041,112042,3009,3010,1,20,0,,,,22,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121022,,,二星飞镖发射器紫宝石,15,4,112041,112042,3009,3010,1,20,0,,,,22,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121031,,,二星飞镖发射器红宝石,15,2,112011,112012,3009,3010,1,21,0,,,,22,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121032,,,二星飞镖发射器红宝石,15,2,112011,112012,3009,3010,1,21,0,,,,22,1,20,4,Fire_point_2,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
121041,,,二星飞镖发射器绿宝石,15,5,112021,112022,3009,3010,1,19,0,,,,22,1,20,4,Fire_point_1,BodyPoint,0,1,1,1,0,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
