Localization表格,,,,,
Both,,,,,
ID,VariableName,VariableComment,Chinese,ChineseTraditional,English
18135,,,点击敌方头像,点击敌方头像,点击敌方头像
18136,,,点击当前波次敌人头像查看,点击当前波次敌人头像查看,点击当前波次敌人头像查看
18137,,,点击界面关闭按钮,点击界面关闭按钮,点击界面关闭按钮
18138,,,点击防御塔-【十字弓】,点击防御塔-【十字弓】,点击防御塔-【十字弓】
18139,,,点击（确定）,点击（确定）,点击（确定）
18140,,,前线哨兵报告，敌方数量突增，现在的工事强度严重不足，（升级防御塔），可以大大（提升战斗力！）,前线哨兵报告，敌方数量突增，现在的工事强度严重不足，（升级防御塔），可以大大（提升战斗力！）,前线哨兵报告，敌方数量突增，现在的工事强度严重不足，（升级防御塔），可以大大（提升战斗力！）
18141,,,选中作战场地内【飞镖发射器】,选中作战场地内【飞镖发射器】,选中作战场地内【飞镖发射器】
18142,,,面对大面积地面敌人，是时候展现【火炮塔】威力了！,面对大面积地面敌人，是时候展现【火炮塔】威力了！,面对大面积地面敌人，是时候展现【火炮塔】威力了！
18143,,,出现了[火炮塔子弹+1]的强力作战词条，拿下它，让敌人尝尝火炮的洗礼！,出现了[火炮塔子弹+1]的强力作战词条，拿下它，让敌人尝尝火炮的洗礼！,出现了[火炮塔子弹+1]的强力作战词条，拿下它，让敌人尝尝火炮的洗礼！
18144,,,再布防一座[火炮塔]，让我们轰他个七荤八素！,再布防一座[火炮塔]，让我们轰他个七荤八素！,再布防一座[火炮塔]，让我们轰他个七荤八素！
18145,,,"属于你的[研究所]已经解锁，(作战前)记得先在研究所里(强化防御塔,提升作战能力！)","属于你的[研究所]已经解锁，(作战前)记得先在研究所里(强化防御塔,提升作战能力！)","属于你的[研究所]已经解锁，(作战前)记得先在研究所里(强化防御塔,提升作战能力！)"
18146,,,[声望]功能已解锁！达成(声望任务)，村民们会给予你丰厚的(回报)！,[声望]功能已解锁！达成(声望任务)，村民们会给予你丰厚的(回报)！,[声望]功能已解锁！达成(声望任务)，村民们会给予你丰厚的(回报)！
18147,,,漂亮的作战！去获取你的战利品吧，说不定会有惊喜！,漂亮的作战！去获取你的战利品吧，说不定会有惊喜！,漂亮的作战！去获取你的战利品吧，说不定会有惊喜！
18148,,,拖拽【火炮塔】到地面的（目标格位）,拖拽【火炮塔】到地面的（目标格位）,拖拽【火炮塔】到地面的（目标格位）
18149,,,点击（加速战斗）按钮,点击（加速战斗）按钮,点击（加速战斗）按钮
18150,,,点击【研究所】建筑,点击【研究所】建筑,点击【研究所】建筑
18151,,,点击（升级）按钮,点击（升级）按钮,点击（升级）按钮
18152,,,(闯关获胜)，可以(解锁)不同的[防御塔]，应对不同的敌人。,(闯关获胜)，可以(解锁)不同的[防御塔]，应对不同的敌人。,(闯关获胜)，可以(解锁)不同的[防御塔]，应对不同的敌人。
18153,,,[{0}]已解锁,[{0}]已解锁,[{0}]已解锁
18154,,,战斗前及每回合结束后，都有可能抽取到已解锁的防御塔，拿取后可在本局对战中使用。,战斗前及每回合结束后，都有可能抽取到已解锁的防御塔，拿取后可在本局对战中使用。,战斗前及每回合结束后，都有可能抽取到已解锁的防御塔，拿取后可在本局对战中使用。
18155,,,拿取防御塔-【飞镖发射器】,拿取防御塔-【飞镖发射器】,拿取防御塔-【飞镖发射器】
18156,,,拿取防御塔-【十字弓】,拿取防御塔-【十字弓】,拿取防御塔-【十字弓】
18157,,,拿取防御塔-【火炮塔】,拿取防御塔-【火炮塔】,拿取防御塔-【火炮塔】
18158,,,【任务】功能已解锁！达成每一项[任务]，都会有额定的[回报]！,【任务】功能已解锁！达成每一项[任务]，都会有额定的[回报]！,【任务】功能已解锁！达成每一项[任务]，都会有额定的[回报]！
18159,,,【泉水祈福】功能已解锁！提升[祈福等级]，可领取可观的奖励！,【泉水祈福】功能已解锁！提升[祈福等级]，可领取可观的奖励！,【泉水祈福】功能已解锁！提升[祈福等级]，可领取可观的奖励！
18160,,,【矿洞探险】功能已解锁！派遣佣兵前往[探险]，获得惊喜收获！,【矿洞探险】功能已解锁！派遣佣兵前往[探险]，获得惊喜收获！,【矿洞探险】功能已解锁！派遣佣兵前往[探险]，获得惊喜收获！
18161,,,【丰碑】功能已解锁！组合好丰碑的搭配，将是战斗的制胜关键！,【丰碑】功能已解锁！组合好丰碑的搭配，将是战斗的制胜关键！,【丰碑】功能已解锁！组合好丰碑的搭配，将是战斗的制胜关键！
18162,,,【防线】功能已解锁！它是这座村庄最后的防御，是你的大本营！布阵、御敌、征战，去实现作为指挥官的宏图霸业吧！,【防线】功能已解锁！它是这座村庄最后的防御，是你的大本营！布阵、御敌、征战，去实现作为指挥官的宏图霸业吧！,【防线】功能已解锁！它是这座村庄最后的防御，是你的大本营！布阵、御敌、征战，去实现作为指挥官的宏图霸业吧！
18163,,,【a】功能已解锁！占位,【a】功能已解锁！占位,【a】功能已解锁！占位
18164,,,【b】功能已解锁！占位,【b】功能已解锁！占位,【b】功能已解锁！占位
18165,,,【c】功能已解锁！占位,【c】功能已解锁！占位,【c】功能已解锁！占位
18166,,,【d】功能已解锁！占位,【d】功能已解锁！占位,【d】功能已解锁！占位
18167,,,【e】功能已解锁！占位,【e】功能已解锁！占位,【e】功能已解锁！占位
18168,,,【f】功能已解锁！占位,【f】功能已解锁！占位,【f】功能已解锁！占位
18169,,,【g】功能已解锁！占位,【g】功能已解锁！占位,【g】功能已解锁！占位
18170,,,点击作战场景内防御塔-【火炮塔】,点击作战场景内防御塔-【火炮塔】,点击作战场景内防御塔-【火炮塔】
18171,,,"点击""小扳手""将，【火炮塔】升至3级.","点击""小扳手""将，【火炮塔】升至3级.","点击""小扳手""将，【火炮塔】升至3级."
18172,,,"点击""小扳手""将，【火炮塔】升至4级.","点击""小扳手""将，【火炮塔】升至4级.","点击""小扳手""将，【火炮塔】升至4级."
18173,,,"再次点击""小扳手""，将【火炮塔】升至5级.","再次点击""小扳手""，将【火炮塔】升至5级.","再次点击""小扳手""，将【火炮塔】升至5级."
18900,,,新手教官狼雅,新手教官狼雅,Trainer Lanya
19000,,,感谢,感謝,Credits
19001,,,设置,設置,Settings
19002,,,退出游戏,退出遊戲,Quit
19003,,,联系我们,聯係我們,Contact Us
19004,,,语言,語言,Language
19005,,,系统设置,系統設置,System
19006,,,声音,聲音,Audio
19007,,,背景音乐,背景音樂,BGM
19008,,,音效,音效,SFX
19009,,,语言设置,語言設置,Language
19010,,,账号设置,帳號設置,Account
19011,,,账号绑定,帳號綁定,Link Account With
19012,,,关于,關於,About
19013,,,版本信息,版本資訊,Version
19014,,,版权声明,版權聲明,Copyright
19015,,,用户相关,用戶相關,User
19016,,,用户协议,用戶協議,User Agreement
19017,,,隐私声明,隱私聲明,Privacy Statement
19018,,,点击查看,點擊查看,Details
19019,,,暂无,暫無,N/A
19020,,,渲染质量,渲染質量,Rendering Quality
19021,,,低,低,Low
19022,,,中,中,Medium
19023,,,高,高,High
19024,,,游戏版本号,遊戲版本號,Version
20011,,,1-立即获得500钻石,1 -立即獲得500鑽石,1 -Instantly receive 500 diamonds
20012,,,2-每日获得30钻石,2 -每日獲得30鑽石,2 -Gain 30 Diamonds daily
20013,,,3-每日获得1500金币,3 -每日獲得1500金幣,3 -Gain 1500 Gold Coins daily
20014,,,4-每日获得2个防御塔图纸盲盒,4 -每日獲得2個防禦塔圖紙盲盒,4 -Gain 2 Blueprint boxes daily
20015,,,5-每日获得2个佣兵盲盒,5 -每日獲得2個傭兵盲盒,5 -Gain 2 Guardian boxes daily
20021,,,1-立即获得1000钻石,1 -立即獲得1000鑽石,1 -Instantly receive 1000 Diamonds
20022,,,1-每日获得60体力,1 -每日獲得60體力,1 -Gain 60 stamina daily
20023,,,2-账号体力上限+60,2 -帳號體力上限+60,2 -+60 Stamina limit
20024,,,3-签到奖励补签次数+3,3 -簽到獎勵補簽次數+3,3 -+3 Catch-up times
20025,,,4-餐厅存储四叶草+15,4 -餐廳存儲四葉草+15,4 -+15 clovers in Dining Hall
21000,,,七日礼包,七日禮包,"Weekly
Rewards"
21001,,,签到,簽到,Sign-in
21002,,,特惠,特惠,Special
21003,,,第一天,第一天,Day 1
21004,,,第二天,第二天,Day 2
21005,,,第三天,第三天,Day 3
21006,,,第四天,第四天,Day 4
21007,,,第五天,第五天,Day 5
21008,,,第六天,第六天,Day 6
21009,,,第七天,第七天,Day 7
21010,,,未开启,未開啟,Locked
21011,,,已领取过该奖励,已領取過該獎勵,Claimed
21012,,,奖励未开启,獎勵未開啟,Cannot claim yet
21013,,,领取,領取,Claim
21014,,,日历签到,日曆簽到,Monthly Bonus
21015,,,月卡,月卡,Privilege Card
21016,,,餐厅,餐廳,Dining Hall
21017,,,补签,補簽,Catch-up
21018,,,月卡双倍,月卡雙倍,Card x2
21019,,,累计大奖,累計大獎,Cumulative Reward
21020,,,本月免费补签:,本月免費補簽:,Free Catch-ups:
21021,,,本月签到:,本月簽到:,Signed-in:
21022,,,超值月卡,超值月卡,Silver Card
21023,,,福利月卡,福利月卡,Gold Card
21024,,,每日领取,每日領取,Daily Rewards
21025,,,立即获得,立即獲得,Bonus
21026,,,月卡加码,月卡加碼,Cards Bonus:
21027,,,同时激活双月卡可获得以下奖励,同時激活雙月卡可獲得以下獎勵,Activating both cards will get the following rewards
21028,,,见 面 豪 礼     超 值 回 馈,見 面 豪 禮     超 值 回 饋,Exclusive Welcome Deal with Incredible Value!
21029,,,月卡生效中,月卡生效中,Card Activated
21030,,,累签大奖,纍簽大獎,Bonus Reward
21031,,,充值豪礼,充值豪禮,Recharge Bonus
21032,,,超值补给,超值補給,Value Supply
21033,,,每日充值,每日充值,Daily Recharge
21034,,,累充礼包,纍充禮包,Recharge Bonus
30000,,,大灰狼,大灰狼,Big Bad Wolf
30001,,,小灰狼,小灰狼,Little Grey Wolf
30002,,,普通狼,普通狼,Wolf
30003,,,飞天狼,飛天狼,Skywolf
30004,,,困狼,困狼,Sleepy Wolf
30005,,,忍者红太狼分身,忍者紅太狼分身,Ninja Red Wolf avatar
30100,,,护士狼,護士狼,Nurse Wolf
30101,,,护盾狼,護盾狼,Shield Wolf
30102,,,法师狼,法師狼,Sorcerer Wolf
30103,,,自爆狼,自爆狼,Bomb Wolf
30104,,,装甲运狼车,裝甲運狼車,Trojan Sheep
30105,,,金刚狼,金剛狼,Wolverine
30106,,,上忍忍者狼,上忍忍者狼,Jonin Wolf
30107,,,下忍忍者狼,下忍忍者狼,Genin Wolf
30108,,,闪现狼,閃現狼,Blink Wolf
30109,,,女巫狼,女巫狼,Witch Wolf
30110,,,冲锋野猪,暴走狼,Charging Boar
30200,,,圣殿勇士,聖殿勇士,Templer Warriors
30201,,,忍者红太狼,忍者紅太狼,Ninja Red Wolf
30202,,,恶狼将军,惡狼將軍,Wolf General
30203,,,教父维托,教父維托,Godfather Vito
30204,,,杰克哥哥,傑克哥哥,Big Jack
30205,,,杰克弟弟,傑克弟弟,Lil Jack
30206,,,火爆桑尼,火爆桑尼,Fiery Sonny
30207,,,狡猾弗雷多,狡猾弗雷多,Cunning Fredo
30208,,,精明迈克,精明邁克,Smart Mike
30209,,,自爆狼王,自爆狼王,Bomb Wolf King
30210,,,飞贼沙维尔,飛賊沙維爾,Xavier the Burglar
30211,,,沙漠狼,沙漠狼,Desert Wolf
31000,,,"不共存类别:分身,嘲讽","不共存類別:分身,嘲諷","Non-co-existing: duplicity, mockery"
31001,,,施法时间{0}秒,施法時間{0}秒,Duration {0} seconds
31002,,,施法间隔{0}秒,施法間隔{0}秒,Cooldown {0} seconds
39000,,,三十六计，走为上计，脚底抹油，开溜！觊觎我的财宝，没门！,三十六計，走為上計，腳底抹油，開溜！覬覦我的財寶，沒門！,The best plan is to slip away quietly.
39001,,,我很穷的，看我这一身破衣烂衫，你还舍得打我么？,我很窮的，看我這一身破衣爛衫，你還捨得打我嗎？,Don't hit me please...
39002,,,不好！有只狼进来了!,不好！有只狼进来了!,Uh-oh! A wolf has come in!
39003,,,猜错啦！,猜錯啦！,Wrong guess!
39004,,,向我开炮吧！！,向我開炮吧！！,Fire at me!!
39005,,,我去，假身不给力啊,我去，假身不給力啊,"Oh man, this trick isn't working well!"
39006,,,不要气馁，继续前进,不要气馁，继续前进,"Don't be discouraged, keep moving forward."
39007,,,永远别恨你的敌人,永遠別恨你的敵人,Never hate your enemies.
39008,,,为什么受伤的总是我……,為什麼受傷的總是我……,Why am I always the one getting hurt...
39009,,,不是你死就是我亡！,不是你死就是我亡！,It's either you or me!
39010,,,真是太糟糕了,真是太糟糕了,This is really terrible.
39011,,,还是失误了么,還是失誤了嗎？,Was it still a mistake?
39012,,,别逼我,别逼我,Don't push me.
39013,,,哎哟，打的还挺准,哎呦，打得還挺準,"Ouch, that was quite accurate!"
39014,,,别搞医疗纠纷啊！,別搞醫療糾紛啊！,Don't cause a medical dispute!
39015,,,我有护盾我怕谁,我有護盾我怕誰,"With my shield, I'm not afraid of anything!"
39016,,,小心！我可是背了炸弹的！,小心！我可是背了炸彈的！,Watch out! I'm carrying a bomb!
39017,,,让子弹来得更猛烈点吧！,讓子彈來得更猛烈點吧！,Let the bullets come more fiercely!
39018,,,不要打了，再打就内出血了,不要打了，再打就內出血了,"Stop hitting me, or I'll start bleeding internally!"
39019,,,分的出哪个是我么？,分得出哪個是我嗎？,Can you tell which one is me?
39020,,,&……%&%￥%……￥……,&……%&%￥%……￥……,&……%&%￥%……￥……
39021,,,我困我我开心,我困我我開心,"I'm sleepy, and I'm happy."
39022,,,哎呦疼啦,哎呦疼啦,"Ouch, that hurts!"
39023,,,好痛，别打啦,好痛，別打啦,"Ouch, stop hitting me!"
39024,,,伤不起啊伤不起……,傷不起啊傷不起……,I can't take the hurt…
39025,,,别打脸行不,別打臉行不,"Please, not the face!"
39026,,,那么高摔下来会很疼哦,那麼高摔下來會很疼哦,Falling from that height would really hurt!
39027,,,速度再快也抚平不了羊儿给我的创伤,速度再快也撫平不了羊兒給我的創傷,The lambs gave me too much wounds....
39028,,,猜猜我是真的吗?,猜猜我是真的嗎？,Guess if I'm real?
39029,,,主啊！赐予我力量吧！,主啊！賜予我力量吧！,"Lord, grant me strength!"
39030,,,分身是我的最爱,分身是我的最愛,Shadow cloning is my favorite trick.
39031,,,进攻，狼群的勇士们！,進攻，狼群的勇士們！,"Attack, warriors of the wolf pack!"
39032,,,我说我能，我就能,我說我能，我就能,"If I say I can, then I can."
39033,,,兄弟齐心，其利断金,兄弟齊心，其利斷金,Brothers united can cut through metal.
39034,,,不让过？我偏要过！,不讓過？我偏要過！,Won't let me pass? I insist on crossing!
39035,,,我真的不想这样,我真的不想這樣,I really don't want this.
39036,,,小心谨慎，精打细算,小心謹慎，精打細算,Cautious and meticulous.
39037,,,为了部落！,為了部落！,For the tribe!
39038,,,现在都什么年代了，还步行~,現在都什麼年代了，還步行～,Who's still walking nowadays?
39039,,,医者仁心，善有善报嘛,醫者仁心，善有善報嘛,A doctor's kind heart brings good karma.
39040,,,哥来自圣殿！,哥來自聖殿！,I came from the sanctuary!
39041,,,我不是自杀式袭击者,我不是自殺式襲擊者,I'm not a suicide attacker.
39042,,,雄炯炯气昂昂冲进羊村！,雄炯炯氣昂昂衝進羊村！,Charrrrrrrrrrge!
39043,,,看来需要亲自上阵了,看來需要親自上陣了,Looks like it's time to join the battle myself.
39044,,,人海战术有时挺有用的,人海戰術有時挺有用的,Swarm tactics can be quite effective sometimes.
39045,,,我悄悄的来,我悄悄的來,I arrive quietly.
39046,,,饿了，吃羊！,餓了，吃羊！,Hungry? Eat lamb!
39047,,,我也有牙哦,我也有牙哦,I have teeth too!
39048,,,爱小羊，更爱吃羊，我是大灰狼,愛小羊，更愛吃羊，我是大灰狼,"Love lambs, love eating them more, I'm the Big Bad Wolf."
39049,,,不要和我比短跑，你伤不起,不要和我比短跑，你傷不起,You can't afford the injury racing with me.
39050,,,我可是狼中贵族,我可是狼中貴族,I am a noble wolf.
39051,,,不走寻常路，飞行才给力！,不走尋常路，飛行才給力！,Flying is the only way!
39052,,,暴走族入场，各位让道！,暴走族入場，各位讓道！,"Gangsters incoming, make way!"
39053,,,为了蜂蜜和胜利！,為了蜂蜜和勝利！,for the honey and the victory!
39054,,,传递消息,傳遞消息,Swooping in.
39055,,,迅速突袭！,迅速突襲！,Strike swiftly!
39056,,,我会为了蜂蜜回来的！,我會為了蜂蜜回來的！,I'll be back for my honey!
39057,,,看来又是时候倒挂了！,看來又是時候倒掛了！,Guess it's time to hang upside down again!
39058,,,天空... 不再属于我...,天空... 不再屬於我...,The sky... is no longer mine...
40000,,,银币,銀幣,Silver Coins
40001,,,佣兵经验,傭兵經驗,Guardian Exp.
40002,,,1级升星道具,1級升星道具,Awakening Item I
40003,,,2级升星道具,2級升星道具,Awakening Item II
40004,,,3级升星道具,3級升星道具,Awakening Item III
40005,,,4级升星道具,4級升星道具,Awakening Item IV
40006,,,5级升星道具,5級升星道具,Awakening Item V
40007,,,战斗手册 I,戰鬥手冊 I,Combat Journal I
40008,,,战斗手册 II,戰鬥手冊 II,Combat Journal II
40009,,,战斗手册 III,戰鬥手冊 III,Combat Journal III
40010,,,战斗手册 IV,戰鬥手冊 IV,Combat Journal IV
40011,,,战斗手册 V,戰鬥手冊 V,Combat Journal IV
40012,,,宝石 I,寶石 I,Gemstone I
40013,,,宝石 II,寶石 II,Gemstone II
40014,,,宝石 III,寶石 III,Gemstone III
40015,,,宝石 IV,寶石 IV,Gemstone IV
40016,,,宝石 V,寶石 V,Gemstone V
40017,,,红宝石 I,紅寶石 I,Ruby I
40018,,,红宝石 II,紅寶石 II,Ruby II
40019,,,红宝石 III,紅寶石 III,Ruby III
40020,,,红宝石 IV,紅寶石 IV,Ruby IV
40021,,,红宝石 V,紅寶石 V,Ruby V
40022,,,蓝宝石 I,藍寶石 I,Sapphire I
40023,,,蓝宝石 II,藍寶石 II,Sapphire II
40024,,,蓝宝石 III,藍寶石 III,Sapphire III
40025,,,蓝宝石 IV,藍寶石 IV,Sapphire IV
40026,,,蓝宝石 V,藍寶石 V,Sapphire V
40027,,,绿宝石 I,綠寶石 I,Emerald I
40028,,,绿宝石 II,綠寶石 II,Emerald II
40029,,,绿宝石 III,綠寶石 III,Emerald III
40030,,,绿宝石 IV,綠寶石 IV,Emerald IV
40031,,,绿宝石 V,綠寶石 V,Emerald V
40032,,,紫宝石 I,紫寶石 I,Amethyst I
40033,,,紫宝石 II,紫寶石 II,Amethyst II
40034,,,紫宝石 III,紫寶石 III,Amethyst III
40035,,,紫宝石 IV,紫寶石 IV,Amethyst IV
40036,,,紫宝石 V,紫寶石 V,Amethyst V
40037,,,捕兽夹 I,捕獸夾 I,Trap I
40038,,,捕兽夹 II,捕獸夾 II,Trap II
40039,,,捕兽夹 III,捕獸夾 III,Trap III
40040,,,铲子 I,鏟子 I,Shovel I
40041,,,铲子 II,鏟子 II,Shovel II
40042,,,铲子 III,鏟子 III,Shovel III
40043,,,窜天猴 I,竄天猴 I,Skyrocket I
40044,,,窜天猴 II,竄天猴 II,Skyrocket II
40045,,,窜天猴 III,竄天猴 III,Skyrocket III
40046,,,地雷 I,地雷 I,Landmine I
40047,,,地雷 II,地雷 II,Landmine II
40048,,,地雷 III,地雷 III,Landmine III
40049,,,荆棘 I,荊棘 I,Ground Spikes I
40050,,,荆棘 II,荊棘 II,Ground Spikes II
40051,,,荆棘 III,荊棘 III,Ground Spikes III
40052,,,锯子 I,鋸子 I,Saw I
40053,,,锯子 II,鋸子 II,Saw II
40054,,,锯子 III,鋸子 III,Saw III
40055,,,礼包,禮包,Gift Pack
40056,,,魔铲,魔鏟,Magic Shovel
40057,,,塔强化手册,塔強化手冊,Tower Codex
40058,,,塔强化手册 I,塔強化手冊 I,Tower Codex I
40059,,,塔强化手册 II,塔強化手冊 II,Tower Codex II
40060,,,塔强化手册 III,塔強化手冊 III,Tower Codex III
40061,,,塔强化手册 IV,塔強化手冊 IV,Tower Codex IV
40062,,,塔强化手册 V,塔強化手冊 V,Tower Codex V
40063,,,糖果,糖果,Candy
40064,,,玩家经验,玩家經驗,Player Exp.
40065,,,战斗道具,戰鬥道具,Battle items
40066,,,体力,體力,Stamina
40067,,,战力,戰力,BP
40068,,,战力:,戰力:,BP:
40069,,,银骰子,銀骰子,Silver Dice
40070,,,金骰子,金骰子,Gold Dice
40071,,,金币,金币,Gold Coin
40072,,,钻石,鑽石,Diamond
40073,,,能量符文 I,能量符文 I,Energy Rune I
40074,,,力量符文 I,力量符文 I,Strength Rune I
40075,,,敏捷符文 I,敏捷符文 I,Agility Rune I
40076,,,能量符文 II,能量符文 II,Energy Rune II
40077,,,力量符文 II,力量符文 II,Strength Rune II
40078,,,敏捷符文 II,敏捷符文 II,Agility Rune II
40079,,,能量符文 III,能量符文 III,Energy Rune III
40080,,,力量符文 III,力量符文 III,Strength Rune III
40081,,,敏捷符文 III,敏捷符文 III,Agility Rune III
40082,,,普通佣兵券,普通僱傭兵券,Standard Guardian Ticket
40083,,,高级佣兵券,高級僱傭兵券,Premium Guardian Ticket
40084,,,防线币,防線幣,Fortress Coins
40085,,,祈福券,祈福券,Blessing Ticket
40086,,,十字弓图纸,十字弓圖紙,Crossbow Blueprint
40087,,,防空飞弹塔图纸,防空飛彈塔圖紙,Anti-aircraft Blueprint
40088,,,投石机图纸,投石機圖紙,Catapult Blueprint
40089,,,镶嵌塔图纸,鑲嵌塔圖紙,Inlay Tower Blueprint
40090,,,火炮塔图纸,火炮塔圖紙,Meteor Cannon Blueprint
40091,,,回旋飞镖塔图纸,回旋飛鏢塔圖紙,Boomerang Blueprint
40092,,,霰弹塔图纸,霰彈塔圖紙,Shotgun Tower Blueprint
40093,,,天空之矛图纸,天空之矛圖紙,Sky Spear Blueprint
40094,,,飞镖塔图纸,飛鏢塔圖紙,Ninja Star Blueprint
40095,,,气球炸弹塔图纸,氣球炸彈塔圖紙,Balloon Bomb Tower Blueprint
40096,,,电磁震荡塔图纸,震盪塔圖紙,Orbit Orb Blueprint
40097,,,风刃发射器图纸,波動塔圖紙,Blast Orb Blueprint
40098,,,焰角弗雷明碎片,焰角弗雷明碎片,Flemming Shard
40099,,,狼舞者玲儿碎片,狼舞者玲兒碎片,Wolf Dancer Ling'er Shard
40100,,,风弩埃尔文碎片,弩衛埃爾文碎片,Crossbow Guard Elvin Shard
40101,,,影牙爱德华碎片,影牙愛德華碎片,Shadowfang Edward Shard
40102,,,海豹突击队狼恩碎片,海豹突擊隊狼恩碎片,Seal Team Wolf En Shard
40103,,,终结者羊八百碎片,終結者羊八百碎片,Terminator Young 800 Shard
40104,,,时空电师特斯洛碎片,時空電師特斯洛碎片,Time Electrician Tesla Shard
40105,,,引力学者羊顿碎片,引力學者羊頓碎片,Gravitationalist Yangton Shard
40106,,,冰霜术士霜灵碎片,冰霜術士霜靈碎片,Frost Sorcerer Frost Spirit Shard
40107,,,冰刃战士狼雅碎片,冰刃戰士狼雅碎片,Ice Blade Warrior Wolf Ya Shard
40108,,,白金刚洛奇碎片,大猩猩-拳擊手碎片,Gorilla - Boxer Shard
40109,,,丛林卫士杰森碎片,犀牛-衛士碎片,Rhino - Guard Shard
40110,,,绵羊-终结者碎片,綿羊-終結者碎片,Sheep - Terminator Shard
40111,,,绵羊-弓箭手碎片,綿羊-弓箭手碎片,Sheep - Archer Shard
40112,,,隐士忍者拉菲碎片,烏龜-忍者碎片,Turtle - Ninja Shard
40113,,,森林学者林奈碎片,貓頭鷹-科學家碎片,Owl - Scientist Shard
40114,,,先知万加碎片,倉鼠-巫師碎片,Hamster - Wizard Shard
40115,,,焰角弗雷明佣兵卡,焰角弗雷明傭兵卡,Flamehorn Flemming Guardian Card
40116,,,狼舞者玲儿佣兵卡,狼舞者玲兒傭兵卡,Wolf Dancer Ling'er Guardian Card
40117,,,风弩埃尔文佣兵卡,弩衛埃爾文傭兵卡,Crossbow Guard Elvin Guardian Card
40118,,,影牙爱德华佣兵卡,影牙愛德華傭兵卡,Shadowfang Edward Guardian Card
40119,,,海豹突击队狼恩佣兵卡,海豹突擊隊狼恩傭兵卡,Seal Team Wolf En Guardian Card
40120,,,终结者羊八百佣兵卡,終結者羊八百傭兵卡,Terminator Sheep 800 Guardian Card
40121,,,时空电师特斯洛佣兵卡,時空電師特斯洛傭兵卡,Time Electrician Tesla Guardian Card
40122,,,引力学者羊顿佣兵卡,引力學者羊頓傭兵卡,Gravitationalist Newton Guardian Card
40123,,,冰霜术士霜灵佣兵卡,冰霜術士霜靈傭兵卡,Frost Sorcerer Frost Spirit Guardian Card
40124,,,冰刃战士狼雅佣兵卡,冰刃戰士狼雅傭兵卡,Ice Blade Warrior Wolf Ya Guardian Card
40125,,,白金刚洛奇佣兵卡,大猩猩-拳擊手傭兵卡,Gorilla - Boxer Guardian Card
40126,,,丛林卫士杰森佣兵卡,犀牛-衛士傭兵卡,Rhino - Guard Guardian Card
40127,,,绵羊-终结者佣兵卡,綿羊-終結者傭兵卡,Sheep - Terminator Guardian Card
40128,,,绵羊-弓箭手佣兵卡,綿羊-弓箭手傭兵卡,Sheep - Archer Guardian Card
40129,,,隐士忍者拉菲佣兵卡,烏龜-忍者傭兵卡,Turtle - Ninja Guardian Card
40130,,,森林学者林奈佣兵卡,貓頭鷹-科學家傭兵卡,Owl - Scientist Guardian Card
40131,,,先知万加佣兵卡,倉鼠-巫師傭兵卡,Hamster - Wizard Guardian Card
40132,,,焰角弗雷明佣兵,焰角弗雷明傭兵,Flemming
40133,,,狼舞者玲儿佣兵,狼舞者玲兒傭兵,Wolf Dancer Ling'er Guardian
40134,,,风弩埃尔文佣兵,弩衛埃爾文傭兵,Crossbow Guard Elvin Guardian
40135,,,影牙爱德华佣兵,影牙愛德華傭兵,Shadowfang Edward Guardian
40136,,,海豹突击队狼恩佣兵,海豹突擊隊狼恩傭兵,Seal Team Wolf En Guardian
40137,,,终结者羊八百佣兵,終結者羊八百傭兵,Terminator Sheep 800 Guardian
40138,,,时空电师特斯洛佣兵,時空電師特斯洛傭兵,Time Electrician Tesla Guardian
40139,,,引力学者羊顿佣兵,引力學者羊頓傭兵,Gravitationalist Newton Guardian
40140,,,冰霜术士霜灵佣兵,冰霜術士霜靈傭兵,Frost Sorcerer Frost Spirit Guardian
40141,,,冰刃战士狼雅佣兵,冰刃戰士狼雅傭兵,Ice Blade Warrior Wolf Ya Guardian
40142,,,白金刚洛奇佣兵,大猩猩-拳擊手傭兵,Gorilla - Boxer Guardian
40143,,,丛林卫士杰森佣兵,犀牛-衛士傭兵,Rhino - Guard Guardian
40144,,,绵羊-终结者佣兵,綿羊-終結者傭兵,Sheep - Terminator Guardian
40145,,,绵羊-弓箭手佣兵,綿羊-弓箭手傭兵,Sheep - Archer Guardian
40146,,,隐士忍者拉菲佣兵,烏龜-忍者傭兵,Turtle - Ninja Guardian
40147,,,森林学者林奈佣兵,貓頭鷹-科學家傭兵,Owl - Scientist Guardian
40148,,,先知万加佣兵,倉鼠-巫師傭兵,Hamster - Wizard Guardian
40149,,,圣洁泉水,聖潔泉水,Scared Spring
40150,,,蓝-锋利符文 I,藍色 A 符文 I,Blue A Rune I
40151,,,蓝-锋利符文 II,藍色 A 符文 II,Blue A Rune II
40152,,,蓝-锋利符文 III,藍色 A 符文 III,Blue A Rune III
40153,,,蓝-锋利符文 IV,藍色 A 符文 IV,Blue A Rune IV
40154,,,蓝-锋利符文 V,藍色 A 符文 V,Blue A Rune V
40155,,,蓝-强攻 符文 I,藍色 B 符文 I,Blue B Rune I
40156,,,蓝-强攻 符文 II,藍色 B 符文 II,Blue B Rune II
40157,,,蓝-强攻 符文 III,藍色 B 符文 III,Blue B Rune III
40158,,,蓝-强攻 符文 IV,藍色 B 符文 IV,Blue B Rune IV
40159,,,蓝-强攻 符文 V,藍色 B 符文 V,Blue B Rune V
